name,location,price,rating,distance,comment
路徒Plus行旅-站前館,"中正區, 台北",6494.0,8.5,400,非常好
小隱居Hermit_Dorm,"松山區, 台北",2643.0,10.0,5300,傑出
首都大飯店松山館,"松山區, 台北",3312.0,8.0,5900,非常好
苓旅中山館-Lininn ZhongShan,"中山區, 台北",3080.0,8.6,2400,很棒
怡品商旅,"大安區, 台北",3116.0,8.4,3100,非常好
和苑三井花園飯店台北忠孝,"大安區, 台北",7833.0,9.0,1700,好極了
旅樂序精品旅館站前五館,"中正區, 台北",4116.0,8.4,450,非常好
宜家商旅,"內湖區, 台北",3420.0,8.5,7900,非常好
台北馥敦飯店復南館,"大安區, 台北",5993.0,8.4,3100,非常好
見潭璞旅,"士林區, 台北",4124.0,8.6,4800,很棒
福容大飯店台北一館,"大安區, 台北",4392.0,8.4,2200,非常好
天閣酒店台北信義,"信義區, 台北",4050.0,8.3,5600,非常好
台北國泰萬怡酒店,"中山區, 台北",5460.0,9.1,2400,好極了
台北萬豪酒店,"中山區, 台北",7245.0,8.6,5700,很棒
台北亞都麗緻大飯店,"中山區, 台北",5069.0,9.0,2200,好極了
洛碁大飯店忠孝館,"大安區, 台北",3658.0,8.5,3500,非常好
柯達大飯店台北敦南,"大安區, 台北",3483.0,8.3,4200,非常好
優美飯店-雙連MRT,"中山區, 台北",3200.0,8.1,1400,非常好
Artinn藝築文旅-台北站前館,"中正區, 台北",2867.0,8.0,500,非常好
皇家玫瑰旅館站前館,"中山區, 台北",2941.0,8.2,450,非常好
雀客旅館台北站前,"中正區, 台北",3610.0,8.2,400,非常好
第一大飯店,"中山區, 台北",1900.0,7.2,1400,好
玉璽精品飯店,"士林區, 台北",2400.0,8.4,8200,非常好
美亞商旅,"中正區, 台北",3645.0,7.8,200,好
玉璽精品飯店,"士林區, 台北",2400.0,8.4,8200,非常好
洛碁大飯店三貝茲,"松山區, 台北",3534.0,8.4,4100,非常好
洛碁大飯店南港館,"南港區, 台北",3813.0,8.3,9500,非常好
台北凱達大飯店,"萬華區, 台北",5500.0,8.3,2300,非常好
洛碁大飯店南京館,"中山區, 台北",3787.0,8.6,2100,很棒
台北松山意舍酒店,"南港區, 台北",4620.0,8.8,6300,很棒
台北六福萬怡酒店,"南港區, 台北",6376.0,8.2,9000,非常好
艾爾行旅,"大安區, 台北",3370.0,8.3,3100,非常好
台北中山意舍酒店,"中山區, 台北",4158.0,8.6,1100,很棒
台北喜來登大飯店,"中正區, 台北",6158.0,8.3,500,非常好
路境行旅-府前館,"中正區, 台北",3680.0,8.5,600,非常好
台北時代寓所-希爾頓啟繽精選酒店,"中正區, 台北",9118.0,9.2,600,好極了
明日大饭店,"萬華區, 台北",2200.0,7.2,1200,好
兄弟大飯店,"松山區, 台北",4650.0,8.9,2800,很棒
盤古捷旅 - Panco Hotel,"中山區, 台北",3060.0,8.8,900,很棒
寒居酒店,"中山區, 台北",6431.0,8.7,1600,很棒
洛碁大飯店松山館,"南港區, 台北",4061.0,8.3,6700,非常好
丰居旅店 - 北車館,"中正區, 台北",3880.0,8.9,500,很棒
CU Hotel Taipei,"大同區, 台北",3298.0,8.2,1200,非常好
錦棧•旅,"中山區, 台北",2772.0,8.1,1700,非常好
柯達大飯店台北松江,"中山區, 台北",4180.0,8.6,2100,很棒
喜客商旅 Seeker Hotel - Sanchong,"三重, 台北",2096.0,7.6,3600,好
熙門小聚 YS Inn,"中正區, 台北",2375.0,7.8,800,好
唯樂米窩,"萬華區, 台北",2790.0,7.7,1400,好
金普頓大安酒店 - 洲際酒店集團酒店,"大安區, 台北",8576.0,9.1,2900,好極了
松哖酒店,"大安區, 台北",4500.0,8.4,1900,非常好
葳皇時尚飯店,"大同區, 台北",2099.0,8.2,1600,非常好
謙匯-普樂室行旅,"信義區, 台北",2414.0,7.0,5700,好
慕軒飯店,"大安區, 台北",6800.0,8.9,3500,很棒
燦路都飯店,"中山區, 台北",3384.0,8.5,2000,非常好
天閣酒店台北長安,"中山區, 台北",3780.0,8.5,800,非常好
洛碁大飯店中華館,"西門町, 台北",5890.0,8.1,800,非常好
老爺會館台北林森 – 華山文創園區,"中山區, 台北",4150.0,8.4,800,非常好
樂頤飯店-蘆洲台北,"蘆洲, 台北",3634.0,8.7,5500,很棒
趣旅館．林森館,"中山區, 台北",2821.0,8.1,1900,非常好
上格大飯店,"三重, 台北",2448.0,7.5,3000,好
T.O. Hotel 承德館,"大同區, 台北",2106.0,7.5,1000,好
老爺會館台北南西-中山站,"中山區, 台北",5078.0,8.4,800,非常好
首都大飯店松山館,"松山區, 台北",3312.0,8.0,5900,非常好
貴族商務飯店,"士林區, 台北",2160.0,7.8,7100,好
華大旅店-南西館,"大同區, 台北",3600.0,7.8,1000,好
JR東日本大飯店 台北,"中山區, 台北",8100.0,9.0,2500,好極了
柔美精品商旅,"中山區, 台北",3966.0,8.3,2100,非常好
旅居文旅-板橋車站館,"板橋, 台北",2480.0,8.1,6900,非常好
薇閣精品旅館 - 大直旗艦館,"中山區, 台北",3135.0,8.0,5700,非常好
台北中山旅居文旅-松山機場館,"中山區, 台北",2680.0,8.3,2800,非常好
町記憶旅店,"萬華區, 台北",4281.0,8.8,1400,很棒
晶華酒店,"中山區, 台北",7970.0,8.7,1100,很棒
貴族商務飯店,"士林區, 台北",2160.0,7.8,7100,好
台北馥敦-馥寓,"松山區, 台北",5658.0,8.9,3100,很棒
華大旅店-南西館,"大同區, 台北",3600.0,7.8,1000,好
JR東日本大飯店 台北,"中山區, 台北",8100.0,9.0,2500,好極了
