name,location,price,rating,distance,comment
路徒Plus行旅-站前館,"中正區, 台北","TWD 6,494",8.5,距中心 400 公尺,非常好
西門邑居會館,"萬華區, 台北","TWD 1,893",,距中心 1.1 公里,
小隱居Hermit_Dorm,"松山區, 台北","TWD 2,643",10,距中心 5.3 公里,傑出
首都大飯店松山館,"松山區, 台北","TWD 3,312",8.0,距中心 5.9 公里,非常好
苓旅中山館-Lininn ZhongShan,"中山區, 台北","TWD 3,080",8.6,距中心 2.4 公里,很棒
怡品商旅,"大安區, 台北","TWD 3,116",8.4,距中心 3.1 公里,非常好
和苑三井花園飯店台北忠孝,"大安區, 台北","TWD 7,833",9.0,距中心 1.7 公里,好極了
旅樂序精品旅館站前五館,"中正區, 台北","TWD 4,116",8.4,距中心 450 公尺,非常好
宜家商旅,"內湖區, 台北","TWD 3,420",8.5,距中心 7.9 公里,非常好
台北馥敦飯店復南館,"大安區, 台北","TWD 5,993",8.4,距中心 3.1 公里,非常好
見潭璞旅,"士林區, 台北","TWD 4,124",8.6,距中心 4.8 公里,很棒
福容大飯店台北一館,"大安區, 台北","TWD 4,392",8.4,距中心 2.2 公里,非常好
天閣酒店台北信義,"信義區, 台北","TWD 4,050",8.3,距中心 5.6 公里,非常好
台北國泰萬怡酒店,"中山區, 台北","TWD 5,460",9.1,距中心 2.4 公里,好極了
台北萬豪酒店,"中山區, 台北","TWD 7,245",8.6,距中心 5.7 公里,很棒
台北亞都麗緻大飯店,"中山區, 台北","TWD 5,069",9.0,距中心 2.2 公里,好極了
洛碁大飯店忠孝館,"大安區, 台北","TWD 3,658",8.5,距中心 3.5 公里,非常好
柯達大飯店台北敦南,"大安區, 台北","TWD 3,483",8.3,距中心 4.2 公里,非常好
優美飯店-雙連MRT,"中山區, 台北","TWD 3,200",8.1,距中心 1.4 公里,非常好
Artinn藝築文旅-台北站前館,"中正區, 台北","TWD 2,867",8.0,距中心 0.5 公里,非常好
皇家玫瑰旅館站前館,"中山區, 台北","TWD 2,941",8.2,距中心 450 公尺,非常好
雀客旅館台北站前,"中正區, 台北","TWD 3,610",8.2,距中心 400 公尺,非常好
第一大飯店,"中山區, 台北","TWD 1,900",7.2,距中心 1.4 公里,好
台北文華東方酒店,"松山區, 台北","TWD 13,000",9.2,距中心 3.3 公里,好極了
玉璽精品飯店,"士林區, 台北","TWD 2,400",8.4,距中心 8.2 公里,非常好
台北文華東方酒店,"松山區, 台北","TWD 13,000",9.2,距中心 3.3 公里,好極了
美亞商旅,"中正區, 台北","TWD 3,645",7.8,距中心 200 公尺,好
玉璽精品飯店,"士林區, 台北","TWD 2,400",8.4,距中心 8.2 公里,非常好
洛碁大飯店三貝茲,"松山區, 台北","TWD 3,534",8.4,距中心 4.1 公里,非常好
洛碁大飯店南港館,"南港區, 台北","TWD 3,813",8.3,距中心 9.5 公里,非常好
台北凱達大飯店,"萬華區, 台北","TWD 5,500",8.3,距中心 2.3 公里,非常好
洛碁大飯店南京館,"中山區, 台北","TWD 3,787",8.6,距中心 2.1 公里,很棒
台北松山意舍酒店,"南港區, 台北","TWD 4,620",8.8,距中心 6.3 公里,很棒
台北六福萬怡酒店,"南港區, 台北","TWD 6,376",8.2,距中心 9 公里,非常好
艾爾行旅,"大安區, 台北","TWD 3,370",8.3,距中心 3.1 公里,非常好
台北中山意舍酒店,"中山區, 台北","TWD 4,158",8.6,距中心 1.1 公里,很棒
台北喜來登大飯店,"中正區, 台北","TWD 6,158",8.3,距中心 500 公尺,非常好
路境行旅-府前館,"中正區, 台北","TWD 3,680",8.5,距中心 0.6 公里,非常好
台北時代寓所-希爾頓啟繽精選酒店,"中正區, 台北","TWD 9,118",9.2,距中心 0.6 公里,好極了
明日大饭店,"萬華區, 台北","TWD 2,200",7.2,距中心 1.2 公里,好
兄弟大飯店,"松山區, 台北","TWD 4,650",8.9,距中心 2.8 公里,很棒
盤古捷旅 - Panco Hotel,"中山區, 台北","TWD 3,060",8.8,距中心 0.9 公里,很棒
寒居酒店,"中山區, 台北","TWD 6,431",8.7,距中心 1.6 公里,很棒
洛碁大飯店松山館,"南港區, 台北","TWD 4,061",8.3,距中心 6.7 公里,非常好
丰居旅店 - 北車館,"中正區, 台北","TWD 3,880",8.9,距中心 0.5 公里,很棒
CU Hotel Taipei,"大同區, 台北","TWD 3,298",8.2,距中心 1.2 公里,非常好
錦棧•旅,"中山區, 台北","TWD 2,772",8.1,距中心 1.7 公里,非常好
柯達大飯店台北松江,"中山區, 台北","TWD 4,180",8.6,距中心 2.1 公里,很棒
喜客商旅 Seeker Hotel - Sanchong,"三重, 台北","TWD 2,096",7.6,距中心 3.6 公里,好
熙門小聚 YS Inn,"中正區, 台北","TWD 2,375",7.8,距中心 0.8 公里,好
唯樂米窩,"萬華區, 台北","TWD 2,790",7.7,距中心 1.4 公里,好
金普頓大安酒店 - 洲際酒店集團酒店,"大安區, 台北","TWD 8,576",9.1,距中心 2.9 公里,好極了
松哖酒店,"大安區, 台北","TWD 4,500",8.4,距中心 1.9 公里,非常好
葳皇時尚飯店,"大同區, 台北","TWD 2,099",8.2,距中心 1.6 公里,非常好
