序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,0,14,臺中市,太平區,0,3,0,7,1,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,16,15,2,7,1,1,C03,7,9,1,10,2,12,,15,15,1,12,4,C03,120.732086,24.150122,2
2,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,4,5,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,7,,,,,B12,,,1,,2,,,7,7,1,12,4,B12,120.647788,24.171075,3
3,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,4,9,臺中市,豐原區,0,4,0,7,1,6,40,12,9,1,5,4,6,6,4,4,5,5,5,1,17,59,3,10,5,4,B03,7,9,2,19,2,1,,59,59,1,12,4,B03,120.751381,24.260691,2
4,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,6,25,臺中市,南區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,4,4,2,17,40,3,10,3,1,B12,7,7,1,8,2,3,,40,40,1,13,4,B12,120.657855,24.129151,2
5,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,6,30,臺中市,沙鹿區,0,0,0,7,,,60,,,,,,,,,,,,,,17,35,,,,,B03,,,1,,2,,,35,,1,6,4,B03,120.597591,24.249998,3
6,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,6,55,臺中市,潭子區,0,0,0,7,,,30,,,,,,,,,,,,,,,41,,,,,C03,,,1,,9,,,41,,1,13,4,C03,120.693233,24.220816,3
7,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,5,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,19,59,2,9,2,1,C03,7,9,1,10,2,11,,59,59,1,12,4,C03,120.682185,24.203829,2
8,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,7,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,39,,,,,B12,,,1,,1,,,39,,1,12,4,B12,120.718838,24.172649,3
9,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,11,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,11,3,10,3,1,B03,7,5,1,8,2,2,,11,11,1,12,4,B03,120.704769,24.169524,2
10,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,11,臺中市,大里區,0,1,0,6,2,6,50,3,1,1,5,4,6,6,4,4,5,4,4,1,16,45,3,10,3,1,B03,7,11,1,8,2,8,,45,45,1,6,4,B03,120.679369,24.094081,2
